epoch,acc,loss,val_acc,val_loss
0,0.7772346372044953,0.4916254097189983,0.5966029730239871,0.7128638741992841
1,0.7849162014503053,0.4801595817065106,0.5992569013908031,0.6982682315027637
2,0.7835195537385994,0.4785447250531372,0.6106687914224187,0.6825612738823436
3,0.7918994416737689,0.4769775614392158,0.6180997890224502,0.6815400563987197
4,0.8033054011494087,0.4518559470190016,0.6300424633749352,0.7196320164355503
5,0.7953910594545929,0.4704118750614827,0.614915074389072,0.6951121577791347
6,0.8021415278898271,0.4473121597447209,0.6162420381216487,0.7217440358392752
7,0.796554934046122,0.46601858993149337,0.602707007555825,0.7418073443280664
8,0.805633145670651,0.44878021348788083,0.6064225058931454,0.73856533190627
9,0.7993482298025206,0.45717086189286005,0.5973991532899012,0.7270476507248392
10,0.8112197398473431,0.43892301943715056,0.6029724003925065,0.7572861542082896
11,0.8154096833154476,0.4259476797374267,0.6183651808388294,0.7513105369582298
12,0.8063314713579316,0.4431507080460394,0.6072186846404698,0.760198853482866
13,0.8209962751612317,0.414797493032903,0.6297770703247019,0.7704392483185052
14,0.8140130376016628,0.44704276448188546,0.6093418276423861,0.778192685810244
15,0.8172718822623098,0.42195123292547365,0.598460723687509,0.7772843230302167
