epoch,acc,loss,val_acc,val_loss
0,0.5086126645517083,0.6925839368857485,0.4766454359718189,0.6987775928655248
1,0.55237429984455,0.6848389333186868,0.5310509544886222,0.6929741395506889
2,0.5954376169423151,0.6595406518968124,0.5501592375670269,0.687868719267997
3,0.6475791468300633,0.6299587195146017,0.565552015877833,0.6778731401179247
4,0.6850558657552943,0.5923614788321809,0.5711252651396831,0.6872911713305553
5,0.6918063306941666,0.570649486846764,0.550690020725226,0.7174642403034648
6,0.7260242091210861,0.5313735923953562,0.5313163493659087,0.7718053004544252
7,0.7432495330632066,0.5140128223922665,0.615445860157347,0.771917696971043
8,0.7539571686829935,0.494923392154651,0.5952760098846095,0.7922692262822655
9,0.7604748595027284,0.48578997239387234,0.5785562631430899,0.7966191952775239
10,0.7835195527396388,0.45582262805387297,0.6157112531601243,0.9170931285353983
11,0.7893389197035209,0.4404653975084507,0.5764331219682268,0.9444692098790672
12,0.8047020468631936,0.42448242649685736,0.59607218727944,0.9511421863820143
13,0.8070297967122254,0.42333560857359925,0.5053078554997779,1.0845732618669035
14,0.8130819367962843,0.4134575466536943,0.5721868375304399,0.9403652989180984
15,0.8084264440909444,0.40348192974508806,0.6194267504534144,0.9728454009742494
