epoch,acc,loss,val_acc,val_loss
0,0.7430037313432836,0.5580501040415977,0.5473557692307692,0.7865108706630193
1,0.7534981343283582,0.4995374225858432,0.5764423076923076,0.6565297917677806
2,0.7702891791044776,0.4754393605598763,0.5925480769230769,0.7211943611502647
3,0.7982742537313433,0.44526148843231483,0.6310096153846154,0.696416100114584
4,0.8269589552238806,0.4062884735749729,0.6252403846153847,0.6865517484454008
5,0.8416511194029851,0.37986471348289236,0.6266826923076924,0.7302683860636674
6,0.8572761194029851,0.3552663466378824,0.6278846153846154,0.8298199989188176
7,0.8614738805970149,0.3456531370531267,0.628125,0.8399094980496626
8,0.8659048507462687,0.3360886488165428,0.6223557692307692,0.810806198991262
9,0.8740671641791045,0.3187082787947868,0.6182692307692308,0.8070179136899801
10,0.8782649253731343,0.3130921214374144,0.6002403846153846,0.8576561448665766
11,0.8901585820895522,0.28271576706598056,0.5949519230769231,0.8725039015595729
12,0.8882929104477612,0.2847060264268918,0.6048076923076923,0.9055029582518798
13,0.8896921641791045,0.27797854018967544,0.6072115384615384,0.9229311459339582
14,0.8962220149253731,0.27958155829292625,0.6040865384615385,0.8905118470008556
15,0.8973880597014925,0.27477711478053635,0.604326923076923,0.891159165593294
